mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
129,129,w129,4.067729285039251e10,201686.12458568515,true,true,49.29729785204831,6.3290105651939275,-0.9999998850549083,155,1.0,169,1.0,true,0.0,0.0
130,130,w130,4.07378321497775e10,201836.15174140013,true,true,48.243307751895635,6.136756122938015,-0.9999999816122505,161,1.0,163,1.0,true,0.0,0.0
131,131,w131,4.1112253664626656e10,202761.5685099784,true,true,1232.1438773414172,6.058134941988758,-0.9999999876073583,261,1.0,93,1.0,true,0.0,0.0
132,132,w132,4.11122536654907e10,202761.56851210908,true,true,1232.143827512615,6.058134439618388,-1.0,81,0.9999993632569911,273,1.0,true,0.0,0.0
133,133,w133,4.185535102228409e10,204585.80356975918,true,true,874.9733737303039,3.9071203453474888,-1.0,81,0.9999997687398118,273,1.0,true,0.0,0.0
134,134,w134,4.185535102307885e10,204585.80357170154,true,true,874.9731879486009,3.907119752343133,-1.0,93,0.9999995937454114,261,1.0,true,0.0,0.0
135,135,w135,4.19398737300672e10,204792.26970290457,true,true,896.6804965557172,5.868493454024909,-0.9999998284985576,259,1.0,245,1.0,true,0.0,0.0
136,136,w136,4.257003494301976e10,206325.07104813936,true,true,45.70379959987271,6.882439856422304,-1.0,79,0.9999998922532564,275,1.0,true,0.0,0.0
137,137,w137,4.257003506725487e10,206325.0713492058,true,true,45.70379410990194,6.88243902206012,-1.0,289,0.9999998798202929,65,1.0,true,0.0,0.0
138,138,w138,4.264809277557568e10,206514.1466717854,true,true,1797.7027878753295,7.382090360210403,-1.0,287,0.9999993138018035,77,1.0,true,0.0,0.0
139,139,w139,4.270464368983097e10,206651.01908732744,true,true,2334.04290294976,6.997691222705664,-0.9999982112703094,115,1.0,235,1.0,true,0.0,0.0
140,140,w140,4.290756571888347e10,207141.4147844015,true,true,892.30256404953,5.50181226489065,-0.9999999256008285,79,1.0,275,1.0,true,0.0,0.0
141,141,w141,4.2907565729273735e10,207141.41480948162,true,true,892.3022773086108,5.501810280476041,-1.0,289,0.9999993256389997,65,1.0,true,0.0,0.0
142,142,w142,4.291349602092706e10,207155.72891167423,true,true,723.4315125060829,4.140385065174035,-0.599718900106194,219,1.0,177,1.0,true,0.0,0.0
143,143,w143,4.321568102711214e10,207883.81617411235,true,true,20.774464272364185,8.05604386288184,-1.0,89,0.9999999754970409,85,1.0,true,0.0,0.0
144,144,w144,4.324080009379405e10,207944.22351629307,true,true,911.7081393910322,6.201942898897106,-0.9999998888208237,78,1.0,80,1.0,true,0.0,0.0
145,145,w145,4.354573651268195e10,208676.15223758068,true,true,724.1515766205622,4.408287020470121,-1.0,135,0.9999994431058677,219,1.0,true,0.0,0.0
146,146,w146,4.354573651287346e10,208676.15223803956,true,true,724.151743033956,4.408288162972322,-1.0,129,0.9999999844335543,225,1.0,true,0.0,0.0
147,147,w147,4.385741342109966e10,209421.61641315746,true,true,492.05661522699836,6.123461615147643,-0.9999996025827897,78,1.0,80,1.0,true,0.0,0.0
148,148,w148,4.471202692460619e10,211452.18590642707,true,true,46.68673943324991,8.101867109117359,-1.0,121,0.9999996632311468,113,1.0,true,0.0,0.0
149,149,w149,4.484645149820524e10,211769.80780603556,true,true,473.2030403589006,4.009227468646262,-0.9999995146605251,275,1.0,79,1.0,true,0.0,0.0
150,150,w150,4.4846451500515526e10,211769.80781149026,true,true,473.2029737188634,4.009227508618528,-0.9999995827185478,289,1.0,65,1.0,true,0.0,0.0
151,151,w151,4.50866682242648e10,212336.21505589856,true,true,1433.4774659939621,5.666082721799837,-0.999999801753408,241,1.0,233,1.0,true,0.0,0.0
152,152,w152,4.532083280084338e10,212886.90143088507,true,true,1553.404281483901,5.991099532850032,-0.9999995784970269,129,1.0,225,1.0,true,0.0,0.0
153,153,w153,4.532083280391145e10,212886.90143809095,true,true,1553.4046630490345,5.991100536576191,-0.9999998007926619,135,1.0,219,1.0,true,0.0,0.0
154,154,w154,4.549617267164697e10,213298.31849231015,true,true,16.900625599350885,6.9123703012687185,-0.9200165169089518,135,1.0,177,1.0,true,0.0,0.0
155,155,w155,4.5525481442724915e10,213367.01113978447,true,true,13.372571856532971,6.541245192182156,-0.9999999896629341,174,1.0,222,1.0,true,0.0,0.0
156,156,w156,4.557233380500094e10,213476.7757977456,true,true,1686.8601872605054,8.422978395715564,-1.0,203,0.9999722864408858,115,1.0,true,0.0,0.0
157,157,w157,4.5594112197512405e10,213527.77851490988,true,true,70.02917250008002,4.947552832125512,-0.9999980343744719,65,1.0,289,1.0,true,0.0,0.0
158,158,w158,4.559411235483155e10,213527.77888329086,true,true,70.02913748499502,4.947550131051151,-0.9999968753806671,79,1.0,275,1.0,true,0.0,0.0
159,159,w159,4.587702743043342e10,214189.2327602707,true,true,84.29373332627375,5.769292826298361,-1.0,261,0.9999995955321915,93,1.0,true,0.0,0.0
