mode_rank,m,n,Omega_exact,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct
63,3,9,888.2644,99.992598,0.000740,0.006661
64,9,3,888.2644,99.992598,0.006661,0.000740
65,4,9,957.3516,99.992023,0.001316,0.006661
66,9,4,957.3516,99.992023,0.006661,0.001316
67,7,7,967.2212,99.991940,0.004030,0.004030
68,6,8,986.9604,99.991776,0.002961,0.005263
69,8,6,986.9604,99.991776,0.005263,0.002961
70,1,10,996.8300,99.991694,0.000082,0.008224
71,10,1,996.8300,99.991694,0.008224,0.000082
72,2,10,1026.4389,99.991447,0.000329,0.008224
73,10,2,1026.4389,99.991447,0.008224,0.000329
74,5,9,1046.1781,99.991283,0.002056,0.006661
75,9,5,1046.1781,99.991283,0.006661,0.002056
76,3,10,1075.7869,99.991036,0.000740,0.008224
77,10,3,1075.7869,99.991036,0.008224,0.000740
78,7,8,1115.2653,99.990707,0.004030,0.005263
79,8,7,1115.2653,99.990707,0.005263,0.004030
80,4,10,1144.8741,99.990460,0.001316,0.008224
81,10,4,1144.8741,99.990460,0.008224,0.001316
82,6,9,1154.7437,99.990378,0.002961,0.006661
83,9,6,1154.7437,99.990378,0.006661,0.002961
84,1,11,1204.0917,99.989967,0.000082,0.009951
85,11,1,1204.0917,99.989967,0.009951,0.000082
86,2,11,1233.7006,99.989720,0.000329,0.009951
87,11,2,1233.7006,99.989720,0.009951,0.000329
88,5,10,1233.7006,99.989720,0.002056,0.008224
89,10,5,1233.7006,99.989720,0.008224,0.002056
90,8,8,1263.3094,99.989474,0.005263,0.005263
91,3,11,1283.0486,99.989309,0.000740,0.009951
92,11,3,1283.0486,99.989309,0.009951,0.000740
93,7,9,1283.0486,99.989309,0.004030,0.006661
94,9,7,1283.0486,99.989309,0.006661,0.004030
95,6,10,1342.2662,99.988816,0.002961,0.008224
96,10,6,1342.2662,99.988816,0.008224,0.002961
97,4,11,1352.1358,99.988733,0.001316,0.009951
98,11,4,1352.1358,99.988733,0.009951,0.001316
99,1,12,1431.0926,99.988076,0.000082,0.011842
100,12,1,1431.0926,99.988076,0.011842,0.000082
101,8,9,1431.0926,99.988076,0.005263,0.006661
102,9,8,1431.0926,99.988076,0.006661,0.005263
103,5,11,1440.9622,99.987993,0.002056,0.009951
104,11,5,1440.9622,99.987993,0.009951,0.002056
105,2,12,1460.7015,99.987829,0.000329,0.011842
106,12,2,1460.7015,99.987829,0.011842,0.000329
107,7,10,1470.5711,99.987747,0.004030,0.008224
108,10,7,1470.5711,99.987747,0.008224,0.004030
109,3,12,1510.0495,99.987418,0.000740,0.011842
110,12,3,1510.0495,99.987418,0.011842,0.000740
111,6,11,1549.5279,99.987089,0.002960,0.009951
112,11,6,1549.5279,99.987089,0.009951,0.002960
113,4,12,1579.1367,99.986842,0.001316,0.011842
114,12,4,1579.1367,99.986842,0.011842,0.001316
115,9,9,1598.8759,99.986678,0.006661,0.006661
116,8,10,1618.6151,99.986513,0.005263,0.008224
117,10,8,1618.6151,99.986513,0.008224,0.005263
