mode_rank,eigen_index,lambda_real,lambda_imag,k_num,k_ref,relative_error_vs_ref,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,full_relative_residual,residual_within_tolerance,KGv_over_v,selected_positive_mode
31.0,46.0,9.062584801516046e15,0.0,1.0027091462919438e11,4.0,2.5067728656298595e10,1.0,11.881073853301686,2.2228483005581152e15,0.2452775173134121,4.206977673970265,1.8926067392516025e-15,1.0,0.02064438958480599,1.0
32.0,47.0,1.6170696286175978e16,0.0,1.7891700241354272e11,4.0,4.472925060238568e10,1.0,8.342892574572076,3.1585752184979775e15,0.1953271004909161,7.106052727634515,2.249765237825715e-15,1.0,0.02341239549053343,1.0
33.0,48.0,1.6426636654120014e16,0.0,1.8174879658113913e11,4.0,4.543719914428478e10,1.0,10.198448690631666,3.152619473556299e15,0.1919211789934845,6.214690923896855,1.971278480014715e-15,1.0,0.018818663976785412,1.0
34.0,49.0,4.045334298843946e16,0.0,4.475868408514941e11,4.0,1.1189671021187352e11,1.0,6.589743308937227,3.806676223736962e15,0.09410041154880117,11.87502822525768,3.1195267281229724e-15,1.0,0.014279829598397116,1.0
35.0,50.0,4.106762366299018e16,0.0,4.54383410089217e11,4.0,1.1359585252130424e11,1.0,7.658383916338066,3.790423329985414e15,0.09229711855476348,10.738906930709186,2.8331682231257554e-15,1.0,0.012051774834356476,1.0
36.0,51.0,5.000000002038908e16,0.0,5.532136629127545e11,4.0,1.3830341572718863e11,1.0,8.220346016366701,4.618400138012308e15,0.09236800272258017,16.68554893947141,3.612841772227347e-15,1.0,0.011236510304879571,1.0
37.0,52.0,5.000000010260463e16,0.0,5.532136638224099e11,4.0,1.3830341595460248e11,1.0,10.499771475414626,3.4359082212766865e15,0.06871816428451767,11.801633576931744,3.4347930203288696e-15,1.0,0.0065447295158206345,1.0
38.0,53.0,5.000000031386845e16,0.0,5.532136661598905e11,4.0,1.3830341653897263e11,1.0,9.975324863529366,2.21771366073973e15,0.04435427293636643,14.227709510789715,6.415485354427581e-15,1.0,0.004446398843463175,1.0
39.0,54.0,1.7668644682546157e17,0.0,1.9549071279098894e12,4.0,4.8872678197647235e11,1.0,10.706951706227633,4.722895619793555e15,0.02673037861505603,21.501115584323244,4.5525282189622245e-15,1.0,0.0024965442404590718,1.0
40.0,55.0,1.794066969774398e17,0.0,1.9850047189099133e12,4.0,4.9625117972647833e11,1.0,10.994612115473675,4.702408225655302e15,0.02621088457052761,22.332899238871974,4.7492472297552994e-15,1.0,0.0023839753776887453,1.0
