mode_rank,eigen_index,omega_sq_real,omega_real,Omega_FEM,Omega_exact,matched_m,matched_n,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
158,158,1.166875e+05,3.415955e+02,1128.8166,1115.2653,7,8,99.9935,0.0032,0.0032,2.18e-08
159,159,1.168010e+05,3.417615e+02,1129.3655,1115.2653,7,8,99.9934,0.0033,0.0033,1.51e-08
160,160,1.174661e+05,3.427333e+02,1132.5767,1144.8741,4,10,99.9935,0.0032,0.0032,1.69e-08
161,161,1.208020e+05,3.475659e+02,1148.5461,1144.8741,4,10,99.9933,0.0034,0.0034,1.71e-08
162,162,1.226677e+05,3.502395e+02,1157.3811,1154.7437,6,9,99.9940,0.0030,0.0030,1.96e-08
163,163,1.275342e+05,3.571194e+02,1180.1161,1204.0917,1,11,99.9931,0.0034,0.0034,1.77e-08
164,164,1.287514e+05,3.588195e+02,1185.7341,1204.0917,1,11,99.9925,0.0038,0.0038,1.05e-08
165,165,1.307465e+05,3.615888e+02,1194.8856,1204.0917,1,11,99.9931,0.0034,0.0034,1.49e-08
166,166,1.318791e+05,3.631516e+02,1200.0500,1204.0917,1,11,99.9930,0.0035,0.0035,1.73e-08
167,167,1.320663e+05,3.634093e+02,1200.9014,1204.0917,1,11,99.9930,0.0035,0.0035,1.62e-08
168,168,1.325142e+05,3.640250e+02,1202.9360,1204.0917,1,11,99.9927,0.0036,0.0036,1.62e-08
169,169,1.332969e+05,3.650985e+02,1206.4833,1204.0917,1,11,99.9923,0.0038,0.0038,1.17e-08
170,170,1.369876e+05,3.701183e+02,1223.0717,1233.7006,2,11,99.9925,0.0037,0.0037,1.51e-08
171,171,1.384996e+05,3.721553e+02,1229.8030,1233.7006,2,11,99.9931,0.0034,0.0034,1.79e-08
172,172,1.395452e+05,3.735574e+02,1234.4364,1233.7006,2,11,99.9929,0.0036,0.0036,1.62e-08
173,173,1.434305e+05,3.787222e+02,1251.5035,1263.3094,8,8,99.9921,0.0039,0.0039,1.41e-08
174,174,1.440174e+05,3.794963e+02,1254.0615,1263.3094,8,8,99.9922,0.0039,0.0039,8.21e-09
175,175,1.456357e+05,3.816224e+02,1261.0875,1263.3094,8,8,99.9927,0.0036,0.0036,1.75e-08
176,176,1.518745e+05,3.897108e+02,1287.8157,1283.0486,3,11,99.9924,0.0038,0.0038,1.54e-08
