mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,node_row,x,y,w,phi_1,phi_2
40,40,w40,1.0000000314848831,0.0,19,0.2500000000006332,0.7500000000000954,0.09407959605524921,-0.02565092448472588,0.025650884864264447
40,40,w40,1.0000000314848831,0.0,20,0.4999999999995339,0.2500000000002257,0.009264936864078014,0.11402615080317031,-0.0013432937695809304
40,40,w40,1.0000000314848831,0.0,21,0.5000000000003757,0.5000000000003757,0.00977056820357872,-7.228902527053464e-8,-5.476188287088758e-8
40,40,w40,1.0000000314848831,0.0,22,0.5000000000012177,0.749999999999844,0.009264964609376961,-0.11402625536307014,0.0013430915678033372
40,40,w40,1.0000000314848831,0.0,23,0.7499999999995922,0.2499999999998184,0.09407956967505968,0.025650741220866028,-0.025650961141917044
40,40,w40,1.0000000314848831,0.0,24,0.749999999999844,0.4999999999995339,0.009264968318830029,0.0013430333803767036,-0.11402625754989125
40,40,w40,1.0000000314848831,0.0,25,0.7500000000000953,0.7499999999995921,-0.08930226206708543,-0.06750522007252785,-0.067505134271738
41,41,w41,1.0000000504438284,0.0,1,0.0,0.0,2.5825002072467765e-6,0.7292262075162508,-0.7292269228470283
41,41,w41,1.0000000504438284,0.0,2,1.0,0.0,-1.769163061732882e-6,-0.8184158029807053,-0.818416382508269
41,41,w41,1.0000000504438284,0.0,3,1.0,1.0,-3.207102775860557e-6,-0.7292235870661475,0.729222542642893
41,41,w41,1.0000000504438284,0.0,4,0.0,1.0,9.719450002254356e-7,0.8184241503126364,0.8184240736714113
41,41,w41,1.0000000504438284,0.0,5,0.2499999999994109,0.0,0.7711474758124115,0.2806912657349223,-0.24048600686336913
41,41,w41,1.0000000504438284,0.0,6,0.4999999999986921,0.0,-0.9999927441359199,0.09968129621371666,0.1410485483812493
41,41,w41,1.0000000504438284,0.0,7,0.7499999999993406,0.0,0.7588530550681144,-0.3497882629422298,-0.11745359368515128
41,41,w41,1.0000000504438284,0.0,8,1.0,0.2499999999994109,-0.7588487314620458,-0.11745352685286221,-0.3497885485263535
41,41,w41,1.0000000504438284,0.0,9,1.0,0.4999999999986921,0.99998764080244,0.14104831575696097,0.09968001115085806
41,41,w41,1.0000000504438284,0.0,10,1.0,0.7499999999993406,-0.7711436603196226,-0.24048480102535189,0.28068986143770824
