mode,vtk_w_field,lambda,k_num,node_row,node_id,x,y,w_normalized,phi_1,phi_2
21,w21,7.035436226288627e8,7784.198886694182,13,13,0.2500000000010405,1.0,-0.7657201129927017,11.30134856329076,122.98672310060397
21,w21,7.035436226288627e8,7784.198886694182,14,14,0.0,0.7500000000003471,-0.7657201172594571,14.074057615746403,127.31619993510071
21,w21,7.035436226288627e8,7784.198886694182,15,15,0.0,0.5000000000020595,0.7657201187251096,-11.852725613226085,-125.17914440035807
21,w21,7.035436226288627e8,7784.198886694182,16,16,0.0,0.2500000000010405,-0.7657201164113814,8.689887184193406,122.78748801784725
21,w21,7.035436226288627e8,7784.198886694182,17,17,0.24999999999981837,0.25000000000063316,0.9345267089983782,-10.867833576254563,-125.99935223411215
21,w21,7.035436226288627e8,7784.198886694182,18,18,0.2500000000002257,0.5000000000012177,-0.9999985670858901,10.661266283581565,124.59667442327797
21,w21,7.035436226288627e8,7784.198886694182,19,19,0.25000000000063316,0.7500000000000954,0.9279005150383363,-10.799336144056355,-123.37153093531865
21,w21,7.035436226288627e8,7784.198886694182,20,20,0.49999999999953393,0.2500000000002257,-0.5127274482394617,14.004217975049762,124.51143354365516
21,w21,7.035436226288627e8,7784.198886694182,21,21,0.5000000000003757,0.5000000000003757,0.4075261381616652,-11.208997721613146,-125.00932966406339
21,w21,7.035436226288627e8,7784.198886694182,22,22,0.5000000000012177,0.749999999999844,-0.5127285297194332,8.413490204001949,125.50743384434699
21,w21,7.035436226288627e8,7784.198886694182,23,23,0.7499999999995922,0.24999999999981837,0.927901837790686,-11.61703590787439,-126.64744722467043
21,w21,7.035436226288627e8,7784.198886694182,24,24,0.749999999999844,0.49999999999953393,-1.0,11.75487482047568,125.42238207287463
21,w21,7.035436226288627e8,7784.198886694182,25,25,0.7500000000000953,0.7499999999995921,0.9345270119561977,-11.548395041336502,-124.01979446162126
22,w22,1.803294330381383e9,19952.141228265635,1,1,0.0,0.0,0.9925203079965014,-4.740267218076824,-64.45211456845448
22,w22,1.803294330381383e9,19952.141228265635,2,2,1.0,0.0,0.9925203081706778,-5.897588429612329,-65.66807730397836
22,w22,1.803294330381383e9,19952.141228265635,3,3,1.0,1.0,0.9925203079963628,-5.769703424969418,-65.56119301105488
22,w22,1.803294330381383e9,19952.141228265635,4,4,0.0,1.0,0.9925203081707884,-4.612828126745553,-64.34496277610081
22,w22,1.803294330381383e9,19952.141228265635,5,5,0.24999999999941094,0.0,-0.9925203082698961,5.63820296555212,65.37573774538525
22,w22,1.803294330381383e9,19952.141228265635,6,6,0.4999999999986921,0.0,0.9925203080453056,-5.252365606818264,-65.0737471021304
22,w22,1.803294330381383e9,19952.141228265635,7,7,0.7499999999993406,0.0,-0.9925203078830863,4.8136302110174265,64.51732077558309
22,w22,1.803294330381383e9,19952.141228265635,8,8,1.0,0.24999999999941094,-0.9925203080787718,4.7009529789887585,64.42327945704878
22,w22,1.803294330381383e9,19952.141228265635,9,9,1.0,0.4999999999986921,0.9925203080095869,-5.8398681755466395,-65.61191043484921
22,w22,1.803294330381383e9,19952.141228265635,10,10,1.0,0.7499999999993406,-0.9925203079901899,4.6410426679541015,64.3802649797607
22,w22,1.803294330381383e9,19952.141228265635,11,11,0.7500000000003471,1.0,-0.9925203082699019,4.87271822149164,64.6386107314471
22,w22,1.803294330381383e9,19952.141228265635,12,12,0.5000000000020595,1.0,0.9925203080452943,-5.25946897745502,-64.94068713245353
22,w22,1.803294330381383e9,19952.141228265635,13,13,0.2500000000010405,1.0,-0.9925203078831702,5.697042489470033,65.49715125900259
22,w22,1.803294330381383e9,19952.141228265635,14,14,0.0,0.7500000000003471,-0.992520308078833,5.8081337236021335,65.59074843723634
22,w22,1.803294330381383e9,19952.141228265635,15,15,0.0,0.5000000000020595,0.9925203080097275,-4.669321144084391,-64.40214519995229
22,w22,1.803294330381383e9,19952.141228265635,16,16,0.0,0.2500000000010405,-0.9925203079904046,5.868275948321343,65.63362587528907
22,w22,1.803294330381383e9,19952.141228265635,17,17,0.24999999999981837,0.25000000000063316,0.9872918913141718,-4.827401807287901,-64.55839735050546
22,w22,1.803294330381383e9,19952.141228265635,18,18,0.2500000000002257,0.5000000000012177,-0.9914634868675588,5.665842877657318,65.43864405573495
22,w22,1.803294330381383e9,19952.141228265635,19,19,0.25000000000063316,0.7500000000000954,0.9872941481092085,-4.8546967075096825,-64.60521657716629
22,w22,1.803294330381383e9,19952.141228265635,20,20,0.49999999999953393,0.2500000000002257,-1.0,5.250647597277855,65.034930340057
22,w22,1.803294330381383e9,19952.141228265635,21,21,0.5000000000003757,0.5000000000003757,0.9941272717923013,-5.255427795017266,-65.00763674185977
22,w22,1.803294330381383e9,19952.141228265635,22,22,0.5000000000012177,0.749999999999844,-0.9999999072453684,5.260042631899078,64.98043056932053
22,w22,1.803294330381383e9,19952.141228265635,23,23,0.7499999999995922,0.24999999999981837,0.9872942356249341,-5.655323342490979,-65.41021562660177
22,w22,1.803294330381383e9,19952.141228265635,24,24,0.749999999999844,0.49999999999953393,-0.9914636660664804,4.844030288317999,64.57682078766297
22,w22,1.803294330381383e9,19952.141228265635,25,25,0.7500000000000953,0.7499999999995921,0.9872921627074996,-5.682493830449552,-65.4570921900015
23,w23,1.8381671439820368e9,20337.983567070125,1,1,0.0,0.0,0.9892269775777033,8.002377805995959,99.18928537512399
23,w23,1.8381671439820368e9,20337.983567070125,2,2,1.0,0.0,0.98922697646679,11.466199435901608,102.65862166470339
23,w23,1.8381671439820368e9,20337.983567070125,3,3,1.0,1.0,0.9892269753555544,7.997165270048964,99.19362071000461
23,w23,1.8381671439820368e9,20337.983567070125,4,4,0.0,1.0,0.9892269764665944,11.467936158216315,102.65760263930163
23,w23,1.8381671439820368e9,20337.983567070125,5,5,0.24999999999941094,0.0,-0.9892269766882558,-10.74851136925862,-101.98618959467825
23,w23,1.8381671439820368e9,20337.983567070125,6,6,0.4999999999986921,0.0,0.9892269769870683,9.868042051256419,100.995425504614
23,w23,1.8381671439820368e9,20337.983567070125,7,7,0.7499999999993406,0.0,-0.9892269774798811,-8.296362500342465,-99.53516096565036
23,w23,1.8381671439820368e9,20337.983567070125,8,8,1.0,0.24999999999941094,-0.9892269759024778,-8.532922992330416,-99.68282419702888
23,w23,1.8381671439820368e9,20337.983567070125,9,9,1.0,0.4999999999986921,0.9892269761903743,9.610944390637801,100.78801254869197
23,w23,1.8381671439820368e9,20337.983567070125,10,10,1.0,0.7499999999993406,-0.9892269753865552,-10.846166636455209,-102.06075258489889
23,w23,1.8381671439820368e9,20337.983567070125,11,11,0.7500000000003471,1.0,-0.9892269762448871,-10.74550708738391,-101.98942688443512
23,w23,1.8381671439820368e9,20337.983567070125,12,12,0.5000000000020595,1.0,0.9892269759457701,9.867613211792877,100.99579545514689
23,w23,1.8381671439820368e9,20337.983567070125,13,13,0.2500000000010405,1.0,-0.9892269754531748,-8.297366629606596,-99.5340626740619
23,w23,1.8381671439820368e9,20337.983567070125,14,14,0.0,0.7500000000003471,-0.9892269770310772,-8.535686595979127,-99.68085023249654
23,w23,1.8381671439820368e9,20337.983567070125,15,15,0.0,0.5000000000020595,0.9892269767433423,9.612986697618558,100.78680550505548
23,w23,1.8381671439820368e9,20337.983567070125,16,16,0.0,0.2500000000010405,-0.9892269775468829,-10.848730138000061,-102.05869352555915
23,w23,1.8381671439820368e9,20337.983567070125,17,17,0.24999999999981837,0.25000000000063316,0.9982225400172182,8.73902524386603,99.985496100355
23,w23,1.8381671439820368e9,20337.983567070125,18,18,0.2500000000002257,0.5000000000012177,-0.9873913216398018,-9.580912243276028,-100.89551380867722
23,w23,1.8381671439820368e9,20337.983567070125,19,19,0.25000000000063316,0.7500000000000954,0.9830990437670689,10.382237903075133,101.66195641987586
23,w23,1.8381671439820368e9,20337.983567070125,20,20,0.49999999999953393,0.2500000000002257,-0.9784550123740662,-9.862083786126457,-100.90699640064548
23,w23,1.8381671439820368e9,20337.983567070125,21,21,0.5000000000003757,0.5000000000003757,0.989227388480943,9.858972803278263,100.86437548831414
23,w23,1.8381671439820368e9,20337.983567070125,22,22,0.5000000000012177,0.749999999999844,-1.0,-9.863231173279061,-100.90600564824031
