mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
14,14,w14,3.9268512786756516e10,198162.8441125039,true,true,4118.474765934068,2.3209944534316254,-0.9999999272494305,18,1.0,20,1.0,true,0.0,0.0
15,15,w15,3.9278412945828384e10,198187.82239539438,true,true,3607.639259837406,2.229060383805965,-0.9999996859243873,25,1.0,17,1.0,true,0.0,0.0
16,16,w16,3.928211588456843e10,198197.16416883573,true,true,8566.32767518806,1.999994291416401,-1.0,22,0.9999994065132316,24,1.0,true,0.0,0.0
17,17,w17,3.96611635085845e10,199151.1072240988,true,true,3087.8393888396818,1.999999133561742,-0.9999998240527792,18,1.0,20,1.0,true,0.0,0.0
18,18,w18,4.03369223319502e10,200840.53956298315,true,true,1237.105601265013,2.884831009973438,3.443402501104393e-8,6,1.0,24,1.0,true,0.0,0.0
19,19,w19,4.048586946289074e10,201211.00731046186,true,true,3804.168634351377,1.4421656925608095,-1.0,19,0.9999999623181073,23,1.0,true,0.0,0.0
20,20,w20,4.048628064422264e10,201212.02907436385,true,true,3297.074136271255,1.4170563261630433,-0.999997654500165,17,1.0,25,1.0,true,0.0,0.0
21,21,w21,4.151870160292529e10,203761.3839836324,true,true,12363.553340420056,1.999998460409764,-0.9999996542688785,18,1.0,20,1.0,true,0.0,0.0
22,22,w22,4.254063178776417e10,206253.80429888843,true,true,5647.455138421421,2.3118224162007643,-1.0,20,0.9999998568401273,22,1.0,true,0.0,0.0
23,23,w23,4.258528416091317e10,206362.0220896112,true,true,2994.856121212774,2.317389034283902,-0.9999999465743367,18,1.0,24,1.0,true,0.0,0.0
24,24,w24,4.2605007389004364e10,206409.8044885571,true,true,1625.7716269142552,1.567647813050166,-8.223943468567003e-8,3,1.0,21,1.0,true,0.0,0.0
25,25,w25,4.294650337131986e10,207235.3815624153,true,true,94937.60265240181,1.9999918943328847,-1.0,18,0.9999961758413648,22,1.0,true,0.0,0.0
26,26,w26,4.338935974118512e10,208301.12755620197,true,true,1583.4676288471348,1.8628132980783876,-0.8069545479700101,23,1.0,25,1.0,true,0.0,0.0
27,27,w27,4.450531380314948e10,210962.82564269347,true,true,617.8856295415303,1.6456328121398154,-1.0,19,0.9999999990237475,23,1.0,true,0.0,0.0
28,28,w28,4.454337071400129e10,211053.0045130874,true,true,596.245775577768,1.5786879509103486,-1.0,25,0.9999999661213045,17,1.0,true,0.0,0.0
29,29,w29,4.545461145718907e10,213200.87114547414,true,true,30325.592132088866,1.9999946596084346,-1.0,22,0.9999992027415952,18,1.0,true,0.0,0.0
30,30,w30,4.5740510880875496e10,213870.31322947907,true,true,2307.6195631681253,2.079738963847849,-1.0,18,0.9999999979168446,24,1.0,true,0.0,0.0
31,31,w31,4.5809641404285324e10,214031.87006678543,true,true,1923.9937302010887,2.1796781813064405,-1.0,18,0.9999999505338036,24,1.0,true,0.0,0.0
32,32,w32,4.619477900055286e10,214929.70711503064,true,true,11493.30262320935,1.9999992931518076,-1.0,20,0.9999996571652648,24,1.0,true,0.0,0.0
33,33,w33,4.687088730397181e10,216496.85287313486,true,true,1560.4498639043377,1.8131157641625841,-0.9999997140546961,19,1.0,23,1.0,true,0.0,0.0
34,34,w34,4.688163029524205e10,216521.66241566234,true,true,648.9412241150168,1.9220417802230125,-1.0,17,0.9127432001065474,19,1.0,true,0.0,0.0
35,35,w35,4.692486478024457e10,216621.47811388547,true,true,1715.9086584614158,2.403559500157376,-0.99999958032491,22,1.0,20,1.0,true,0.0,0.0
