mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi,log10_Error_L2_Q
157,15,15,6476997.6940,4437.6877,3.163919,0.000000,0.000000,0.000000
158,15,15,6477176.7591,4437.6877,3.163931,0.000000,0.000000,-0.000000
159,15,15,6477178.8525,4437.6877,3.163932,0.000000,0.000000,0.000000
160,15,15,6477185.1345,4437.6877,3.163932,-0.000000,0.000000,0.000000
161,15,15,6477189.2634,4437.6877,3.163932,0.000000,0.000000,0.000000
162,15,15,6477257.9610,4437.6877,3.163937,0.016336,3.542870,6.439142
163,15,15,6477268.0863,4437.6877,3.163937,0.000000,0.000000,0.000000
164,15,15,6477271.6856,4437.6877,3.163938,0.014747,3.501275,6.397549
165,15,15,6477283.8041,4437.6877,3.163939,0.005199,3.400453,6.296728
166,15,15,6477333.1333,4437.6877,3.163942,0.000000,0.000000,0.000000
167,15,15,6477338.0854,4437.6877,3.163942,0.007544,3.646945,6.543241
168,15,15,6477342.5598,4437.6877,3.163942,0.000000,0.000000,0.000000
169,15,15,6477343.2125,4437.6877,3.163943,0.000000,0.000000,0.000000
170,15,15,6477348.6911,4437.6877,3.163943,0.000000,0.000000,-0.000000
171,15,15,6477350.6605,4437.6877,3.163943,0.000000,0.000000,-0.000000
172,15,15,6477352.3000,4437.6877,3.163943,0.000000,0.000000,0.000000
173,15,15,6477352.6375,4437.6877,3.163943,0.000000,0.000000,0.000000
174,15,15,6477353.3065,4437.6877,3.163943,0.000000,0.000000,0.000000
175,15,15,6477359.8608,4437.6877,3.163944,0.000000,0.000000,0.000000
176,15,15,6477360.0197,4437.6877,3.163944,0.000000,0.000000,0.000000
177,15,15,6477361.2055,4437.6877,3.163944,0.000000,0.000000,0.000000
178,15,15,6477377.2829,4437.6877,3.163945,-0.000000,0.000000,0.000000
179,15,15,6477378.5251,4437.6877,3.163945,0.000000,0.000000,0.000000
180,15,15,6477383.4105,4437.6877,3.163945,0.000000,0.000000,0.000000
181,15,15,6477385.9519,4437.6877,3.163945,0.002231,3.891568,6.787879
182,15,15,6477386.9761,4437.6877,3.163945,0.000000,0.000000,0.000000
183,15,15,6477387.8125,4437.6877,3.163946,0.000000,0.000000,0.000000
184,15,15,6477412.0913,4437.6877,3.163947,0.000000,0.000000,0.000000
185,15,15,6477428.1155,4437.6877,3.163948,0.000000,0.000000,0.000000
186,15,15,6477457.8496,4437.6877,3.163950,-0.000000,0.000000,0.000000
187,15,15,6477458.0674,4437.6877,3.163950,-0.000000,0.000000,0.000000
188,15,15,6477469.0870,4437.6877,3.163951,0.000000,0.000000,0.000000
189,15,15,6477484.4804,4437.6877,3.163952,0.000000,0.000000,0.000000
190,15,15,6477643.6333,4437.6877,3.163963,-0.000000,0.000000,0.000000
191,15,15,6477644.6248,4437.6877,3.163963,0.000000,0.000000,0.000000
192,15,15,6477675.4508,4437.6877,3.163965,0.013606,3.425140,6.321444
193,15,15,6477692.9388,4437.6877,3.163966,0.014057,3.350673,6.246983
194,15,15,6477849.4427,4437.6877,3.163976,0.000000,0.000000,0.000000
195,15,15,6477853.4606,4437.6877,3.163977,0.037606,3.708576,6.604889
196,15,15,6477869.1462,4437.6877,3.163978,0.000000,0.000000,0.000000
197,15,15,6477870.6941,4437.6877,3.163978,0.000000,0.000000,-0.000000
198,15,15,6477888.8669,4437.6877,3.163979,-0.000000,0.000000,0.000000
199,15,15,6477889.3865,4437.6877,3.163979,0.025617,3.597556,6.493878
200,15,15,6477889.6689,4437.6877,3.163979,0.031675,3.624036,6.520358
201,15,15,6477889.6772,4437.6877,3.163979,-0.000000,0.000000,0.000000
202,15,15,6477926.1366,4437.6877,3.163982,0.000000,0.000000,-0.000000
203,15,15,6477929.3161,4437.6877,3.163982,0.000000,0.000000,-0.000000
204,15,15,6477969.6062,4437.6877,3.163985,-0.000000,0.000000,0.000000
205,15,15,6477971.7910,4437.6877,3.163985,0.030510,3.453573,6.349902
206,15,15,6477986.9844,4437.6877,3.163986,-0.000000,0.000000,0.000000
207,15,15,6477988.0858,4437.6877,3.163986,0.006894,3.150941,6.047281
208,15,15,6477988.1832,4437.6877,3.163986,-0.000000,0.000000,0.000000
209,15,15,6477988.9736,4437.6877,3.163986,0.000000,0.000000,0.000000
210,15,15,6478061.1262,4437.6877,3.163991,-0.000000,0.000000,0.000000
211,15,15,6478072.3482,4437.6877,3.163991,-0.000000,0.000000,0.000000
212,15,15,6478088.0134,4437.6877,3.163993,0.000000,0.000000,0.000000
213,15,15,6478088.9528,4437.6877,3.163993,0.012497,3.381313,6.277635
214,15,15,6478104.8200,4437.6877,3.163994,0.000000,0.000000,0.000000
215,15,15,6478125.4139,4437.6877,3.163995,-0.000000,0.000000,-0.000000
216,15,15,6478130.0153,4437.6877,3.163995,-0.000000,-0.000000,-0.000000
217,15,15,6478131.8998,4437.6877,3.163995,0.000000,0.000000,0.000000
218,15,15,6478170.0173,4437.6877,3.163998,0.000000,0.000000,0.000000
219,15,15,6478194.5805,4437.6877,3.164000,0.000000,0.000000,0.000000
220,15,15,6478196.8636,4437.6877,3.164000,0.000000,0.000000,0.000000
221,15,15,6478207.4325,4437.6877,3.164001,0.000000,0.000000,0.000000
222,15,15,6478217.1384,4437.6877,3.164001,0.000000,0.000000,-0.000000
223,15,15,6478233.3999,4437.6877,3.164002,0.000000,0.000000,0.000000
224,15,15,6478254.2202,4437.6877,3.164004,0.000000,0.000000,0.000000
225,15,15,6478258.8898,4437.6877,3.164004,0.000000,0.000000,0.000000
226,15,15,6478261.2570,4437.6877,3.164004,0.000000,0.000000,-0.000000
227,15,15,6478278.4764,4437.6877,3.164005,0.000000,0.000000,0.000000
228,15,15,6478281.5291,4437.6877,3.164005,-0.000000,0.000000,-0.000000
229,15,15,6478300.0000,4437.6877,3.164007,0.000000,0.000000,0.000000
230,15,15,6478311.1963,4437.6877,3.164007,-0.000000,-0.000000,-0.000000
231,15,15,6478325.0453,4437.6877,3.164008,0.000000,0.000000,0.000000
232,15,15,6478326.8715,4437.6877,3.164009,0.000000,0.000000,0.000000
233,15,15,6478332.0105,4437.6877,3.164009,0.000000,0.000000,0.000000
234,15,15,6478606.7634,4437.6877,3.164027,0.000000,0.000000,-0.000000
235,15,15,6478610.8292,4437.6877,3.164028,-0.000000,0.000000,0.000000
236,15,15,6478632.5283,4437.6877,3.164029,0.000000,0.000000,-0.000000
237,15,15,6478653.7777,4437.6877,3.164030,0.000000,0.000000,0.000000
238,15,15,6478688.9383,4437.6877,3.164033,0.000000,0.000000,0.000000
239,15,15,6478711.2221,4437.6877,3.164034,-0.000000,0.000000,0.000000
240,15,15,6478718.6510,4437.6877,3.164035,0.017388,3.642567,6.538940
241,15,15,6478743.3308,4437.6877,3.164036,0.000000,0.000000,0.000000
242,15,15,6478774.3761,4437.6877,3.164039,0.008083,4.012144,6.908552
243,15,15,6478774.5754,4437.6877,3.164039,0.008343,4.019092,6.915500
244,15,15,6478779.7391,4437.6877,3.164039,0.000000,0.000000,0.000000
245,15,15,6478787.4308,4437.6877,3.164039,0.005190,3.883249,6.779656
246,15,15,6478789.5620,4437.6877,3.164040,0.000000,0.000000,0.000000
247,15,15,6478789.6877,4437.6877,3.164040,0.018808,4.129409,7.025815
248,15,15,6478790.5656,4437.6877,3.164040,0.000000,0.000000,-0.000000
249,15,15,6478792.5989,4437.6877,3.164040,0.000000,0.000000,0.000000
250,15,15,6478811.4977,4437.6877,3.164041,0.000000,0.000000,0.000000
251,15,15,6478815.9232,4437.6877,3.164041,0.000000,0.000000,-0.000000
252,15,15,6478821.4369,4437.6877,3.164042,0.000000,0.000000,0.000000
253,15,15,6478823.0930,4437.6877,3.164042,-0.000000,0.000000,0.000000
254,15,15,6478831.3967,4437.6877,3.164042,0.000000,0.000000,0.000000
255,15,15,6478832.0507,4437.6877,3.164042,0.000000,0.000000,0.000000
256,15,15,6478832.2442,4437.6877,3.164042,0.000000,0.000000,-0.000000
257,15,15,6478832.5963,4437.6877,3.164042,0.000000,0.000000,0.000000
258,15,15,6478892.0895,4437.6877,3.164046,0.000000,0.000000,0.000000
259,15,15,6478894.6161,4437.6877,3.164047,0.000000,0.000000,0.000000
260,15,15,6478904.5160,4437.6877,3.164047,0.000000,0.000000,0.000000
261,15,15,6478905.2652,4437.6877,3.164047,0.000000,0.000000,0.000000
262,15,15,6479055.1665,4437.6877,3.164057,-0.000000,0.000000,-0.000000
263,15,15,6479066.7590,4437.6877,3.164058,0.013815,3.460878,6.357277
264,15,15,6479099.7506,4437.6877,3.164060,0.000000,0.000000,0.000000
265,15,15,6479152.7862,4437.6877,3.164064,0.000000,0.000000,0.000000
266,15,15,6479262.7150,4437.6877,3.164071,-0.000000,0.000000,0.000000
267,15,15,6479270.3870,4437.6877,3.164072,0.000000,0.000000,0.000000
268,15,15,6479282.3513,4437.6877,3.164073,0.038594,3.638572,6.534991
269,15,15,6479284.0044,4437.6877,3.164073,0.000000,0.000000,0.000000
270,15,15,6479294.7293,4437.6877,3.164073,-0.000000,0.000000,0.000000
271,15,15,6479297.9573,4437.6877,3.164074,-0.000000,0.000000,0.000000
272,15,15,6479298.1706,4437.6877,3.164074,0.000000,0.000000,0.000000
273,15,15,6479300.1022,4437.6877,3.164074,0.019382,3.487138,6.383560
274,15,15,6479355.2118,4437.6877,3.164078,0.000000,0.000000,0.000000
275,15,15,6479361.0971,4437.6877,3.164078,-0.000000,0.000000,0.000000
276,15,15,6479382.8567,4437.6877,3.164079,0.000000,0.000000,0.000000
277,15,15,6479395.1455,4437.6877,3.164080,0.000000,0.000000,0.000000
278,15,15,6479407.5194,4437.6877,3.164081,0.000000,0.000000,-0.000000
279,15,15,6479421.6349,4437.6877,3.164082,-0.000000,0.000000,0.000000
280,15,15,6479421.8434,4437.6877,3.164082,0.000000,0.000000,-0.000000
281,15,15,6479422.1453,4437.6877,3.164082,-0.000000,0.000000,0.000000
282,15,15,6479423.5780,4437.6877,3.164082,0.000000,0.000000,0.000000
283,15,15,6479447.4590,4437.6877,3.164084,0.012654,3.396736,6.293152
284,15,15,6479450.6316,4437.6877,3.164084,0.011953,3.333320,6.229736
285,15,15,6479468.5773,4437.6877,3.164085,-0.000000,0.000000,0.000000
286,15,15,6479469.2996,4437.6877,3.164085,0.000000,0.000000,0.000000
287,15,15,6479483.5682,4437.6877,3.164086,0.000000,0.000000,0.000000
288,15,15,6479484.6022,4437.6877,3.164086,0.000000,0.000000,0.000000
289,15,15,6479530.7460,4437.6877,3.164089,0.000000,0.000000,0.000000
290,15,15,6479536.4557,4437.6877,3.164090,0.000000,0.000000,0.000000
291,15,15,6479540.2257,4437.6877,3.164090,0.000000,0.000000,0.000000
292,15,15,6479557.3687,4437.6877,3.164091,0.000000,0.000000,0.000000
293,15,15,6479560.4664,4437.6877,3.164091,0.000000,0.000000,0.000000
294,15,15,6479589.2464,4437.6877,3.164093,0.000000,0.000000,0.000000
295,15,15,6479590.8915,4437.6877,3.164093,0.000000,0.000000,0.000000
296,15,15,6479594.2778,4437.6877,3.164094,0.000000,0.000000,0.000000
297,15,15,6479604.2800,4437.6877,3.164094,0.000000,0.000000,0.000000
298,15,15,6479607.5135,4437.6877,3.164094,0.000000,0.000000,0.000000
299,15,15,6479636.8602,4437.6877,3.164096,0.000000,0.000000,0.000000
300,15,15,6479684.9923,4437.6877,3.164100,0.000000,0.000000,0.000000
301,15,15,6479712.1682,4437.6877,3.164101,0.000000,0.000000,0.000000
302,15,15,6479845.9858,4437.6877,3.164110,0.000000,0.000000,0.000000
303,15,15,6479926.5044,4437.6877,3.164116,0.014655,3.593945,6.490401
304,15,15,6479944.7413,4437.6877,3.164117,0.000000,0.000000,0.000000
305,15,15,6479973.5767,4437.6877,3.164119,0.000000,0.000000,0.000000
306,15,15,6479983.9494,4437.6877,3.164120,0.000000,0.000000,0.000000
307,15,15,6479991.6001,4437.6877,3.164120,0.000000,0.000000,0.000000
308,15,15,6480004.5266,4437.6877,3.164121,0.016057,3.870357,6.766848
309,15,15,6480008.0010,4437.6877,3.164121,0.000000,0.000000,0.000000
310,15,15,6480011.3342,4437.6877,3.164122,0.000000,0.000000,0.000000
311,15,15,6480018.5654,4437.6877,3.164122,0.000000,0.000000,0.000000
312,15,15,6480023.9476,4437.6877,3.164122,0.000000,0.000000,0.000000
313,15,15,6480032.5988,4437.6877,3.164123,0.000000,0.000000,0.000000
314,15,15,6480057.0773,4437.6877,3.164125,0.000000,0.000000,0.000000
315,15,15,6480151.3841,4437.6877,3.164131,0.000000,0.000000,0.000000
316,15,15,6480165.7734,4437.6877,3.164132,0.000000,0.000000,0.000000
317,15,15,6480182.1461,4437.6877,3.164133,0.028555,4.288567,7.185068
318,15,15,6480182.6233,4437.6877,3.164133,0.000000,0.000000,0.000000
319,15,15,6480186.7505,4437.6877,3.164133,0.000000,0.000000,0.000000
320,15,15,6480188.5135,4437.6877,3.164133,0.000000,0.000000,0.000000
321,15,15,6480189.4359,4437.6877,3.164133,0.000000,0.000000,0.000000
322,15,15,6480192.3132,4437.6877,3.164134,0.011254,3.937553,6.834059
323,15,15,6480218.7215,4437.6877,3.164135,0.000000,0.000000,0.000000
324,15,15,6480232.4876,4437.6877,3.164136,0.000000,0.000000,0.000000
325,15,15,6480258.0216,4437.6877,3.164138,0.000000,0.000000,0.000000
326,15,15,6480265.4729,4437.6877,3.164139,0.000000,0.000000,0.000000
327,15,15,6480311.5843,4437.6877,3.164142,0.000000,0.000000,0.000000
328,15,15,6480357.7331,4437.6877,3.164145,0.000000,0.000000,0.000000
329,15,15,6480375.9276,4437.6877,3.164146,0.000000,0.000000,-0.000000
330,15,15,6480418.5050,4437.6877,3.164149,0.000000,0.000000,0.000000
331,15,15,6480427.1639,4437.6877,3.164149,0.063346,3.843315,6.739818
332,15,15,6480432.6081,4437.6877,3.164150,0.000000,0.000000,0.000000
333,15,15,6480434.1447,4437.6877,3.164150,0.000000,0.000000,0.000000
334,15,15,6480440.5869,4437.6877,3.164150,0.000000,0.000000,0.000000
335,15,15,6480447.0282,4437.6877,3.164151,0.009361,3.484191,6.380693
336,15,15,6480450.6578,4437.6877,3.164151,0.036770,3.784193,6.680691
337,15,15,6480457.9826,4437.6877,3.164151,0.057380,3.855969,6.752469
338,15,15,6480496.4191,4437.6877,3.164154,-0.000000,0.000000,0.000000
339,15,15,6480531.6406,4437.6877,3.164156,0.000000,0.000000,0.000000
340,15,15,6480540.2078,4437.6877,3.164157,0.000000,0.000000,0.000000
341,15,15,6480546.4221,4437.6877,3.164157,0.037114,3.704554,6.601069
342,15,15,6480559.2100,4437.6877,3.164158,-0.000000,0.000000,0.000000
343,15,15,6480572.2560,4437.6877,3.164159,0.000000,0.000000,0.000000
344,15,15,6480574.2527,4437.6877,3.164159,0.000000,0.000000,-0.000000
345,15,15,6480574.5236,4437.6877,3.164159,0.000000,0.000000,-0.000000
346,15,15,6480574.9771,4437.6877,3.164159,-0.000000,0.000000,0.000000
347,15,15,6480579.0972,4437.6877,3.164160,-0.000000,0.000000,0.000000
348,15,15,6480580.6807,4437.6877,3.164160,0.000000,0.000000,0.000000
349,15,15,6480607.9160,4437.6877,3.164162,0.000000,0.000000,0.000000
350,15,15,6480612.4911,4437.6877,3.164162,0.000000,0.000000,0.000000
351,15,15,6480613.2421,4437.6877,3.164162,0.000000,0.000000,0.000000
352,15,15,6480633.2549,4437.6877,3.164163,0.000000,0.000000,0.000000
