mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h,log10_Error_L2_w,log10_Error_L2_phi
272,15,15,6478191.1214,4437.6877,3.163999,-0.000000,0.000000
273,15,15,6478319.1048,4437.6877,3.164008,0.001184,3.179276
274,15,15,6478328.7676,4437.6877,3.164009,0.009037,3.559562
275,15,15,6478365.6249,4437.6877,3.164011,0.003328,3.541686
276,15,15,6478367.7349,4437.6877,3.164011,0.000062,2.371779
277,15,15,6478373.9046,4437.6877,3.164012,0.001252,2.907179
278,15,15,6478378.3302,4437.6877,3.164012,-0.000000,-0.000000
279,15,15,6478383.2675,4437.6877,3.164012,0.010178,3.496380
280,15,15,6478384.0400,4437.6877,3.164012,0.022553,3.527759
281,15,15,6478384.1721,4437.6877,3.164012,0.001344,2.947780
282,15,15,6478420.3463,4437.6877,3.164015,0.000000,0.000000
283,15,15,6478431.6908,4437.6877,3.164016,0.000000,0.000000
284,15,15,6478436.2229,4437.6877,3.164016,0.008558,3.314266
285,15,15,6478436.5385,4437.6877,3.164016,0.007014,3.260335
286,15,15,6478440.6591,4437.6877,3.164016,0.001139,2.861103
287,15,15,6478440.7714,4437.6877,3.164016,0.034230,3.632825
288,15,15,6478446.3024,4437.6877,3.164017,0.023523,3.501321
289,15,15,6478447.1175,4437.6877,3.164017,0.000075,2.212105
290,15,15,6478449.7651,4437.6877,3.164017,0.000086,2.293804
291,15,15,6478457.1722,4437.6877,3.164017,0.010080,3.273582
292,15,15,6478460.9579,4437.6877,3.164018,0.015592,3.368303
293,15,15,6478498.7806,4437.6877,3.164020,0.022328,3.398235
294,15,15,6478499.2005,4437.6877,3.164020,0.010104,3.228900
295,15,15,6478499.9310,4437.6877,3.164020,0.027288,3.444970
296,15,15,6478499.9507,4437.6877,3.164020,0.005848,3.073247
297,15,15,6478546.2541,4437.6877,3.164023,0.000449,2.498635
298,15,15,6478546.5605,4437.6877,3.164023,0.001341,2.632944
299,15,15,6478547.2156,4437.6877,3.164023,0.004860,3.018321
300,15,15,6478547.6970,4437.6877,3.164023,0.003218,2.926700
301,15,15,6478720.0381,4437.6877,3.164035,0.004049,3.066431
302,15,15,6478721.6739,4437.6877,3.164035,-0.000000,0.000000
303,15,15,6478725.8539,4437.6877,3.164035,-0.000000,-0.000000
304,15,15,6478737.4812,4437.6877,3.164036,-0.000416,2.532820
305,15,15,6478758.0565,4437.6877,3.164037,0.000268,2.478936
306,15,15,6478761.4075,4437.6877,3.164038,0.000000,0.000000
307,15,15,6478763.7798,4437.6877,3.164038,0.000222,2.419663
308,15,15,6478774.9026,4437.6877,3.164039,-0.000000,-0.000000
309,15,15,6478779.8102,4437.6877,3.164039,0.000000,-0.000000
310,15,15,6478784.4088,4437.6877,3.164039,0.000000,0.000000
311,15,15,6478796.5730,4437.6877,3.164040,0.000000,0.000000
312,15,15,6478817.7882,4437.6877,3.164041,0.000000,0.000000
313,15,15,6478847.1058,4437.6877,3.164043,-0.000000,-0.000000
314,15,15,6478863.3426,4437.6877,3.164045,0.000000,0.000000
315,15,15,6478864.6865,4437.6877,3.164045,-0.000000,-0.000000
316,15,15,6478866.1681,4437.6877,3.164045,0.017232,3.679503
317,15,15,6478870.9616,4437.6877,3.164045,0.000000,-0.000000
318,15,15,6478872.9918,4437.6877,3.164045,-0.000000,-0.000000
319,15,15,6478885.3592,4437.6877,3.164046,-0.000000,-0.000000
320,15,15,6478887.7285,4437.6877,3.164046,0.004658,3.472892
321,15,15,6478889.9152,4437.6877,3.164046,0.000000,0.000000
322,15,15,6478895.9621,4437.6877,3.164047,0.000000,0.000000
323,15,15,6478898.8055,4437.6877,3.164047,0.008238,3.355189
324,15,15,6478915.7379,4437.6877,3.164048,0.000000,0.000000
325,15,15,6478959.7560,4437.6877,3.164051,0.017948,3.539951
326,15,15,6478974.2835,4437.6877,3.164052,0.000000,-0.000000
327,15,15,6478977.0642,4437.6877,3.164052,0.000000,0.000000
328,15,15,6478984.3218,4437.6877,3.164053,0.000000,-0.000000
329,15,15,6478999.3409,4437.6877,3.164054,0.002206,3.344952
330,15,15,6479005.0625,4437.6877,3.164054,0.000000,0.000000
331,15,15,6479007.9777,4437.6877,3.164054,0.000000,-0.000000
332,15,15,6479025.5374,4437.6877,3.164055,-0.000000,-0.000000
333,15,15,6479029.2764,4437.6877,3.164056,0.000000,-0.000000
334,15,15,6479035.4172,4437.6877,3.164056,0.000000,0.000000
335,15,15,6479036.3614,4437.6877,3.164056,0.000000,0.000000
336,15,15,6479036.4989,4437.6877,3.164056,0.000000,0.000000
337,15,15,6479046.5933,4437.6877,3.164057,0.000000,0.000000
338,15,15,6479047.0200,4437.6877,3.164057,-0.000000,-0.000000
339,15,15,6479053.1611,4437.6877,3.164057,0.000000,0.000000
340,15,15,6479053.1926,4437.6877,3.164057,0.000000,0.000000
341,15,15,6479059.8965,4437.6877,3.164058,0.000000,0.000000
342,15,15,6479110.1719,4437.6877,3.164061,0.000000,-0.000000
343,15,15,6479114.2469,4437.6877,3.164061,0.000000,0.000000
344,15,15,6479125.1982,4437.6877,3.164062,0.000000,0.000000
345,15,15,6479160.1267,4437.6877,3.164064,0.000000,0.000000
346,15,15,6479200.0376,4437.6877,3.164067,0.000000,0.000000
347,15,15,6479227.1220,4437.6877,3.164069,0.000000,0.000000
348,15,15,6479244.3133,4437.6877,3.164070,-0.000000,-0.000000
