n_div,mode_rank,matched_m,matched_n,w_h_FEM,w_h_exact,log10_Error_w_h
21,16,5,1,255.7091,256.5976,-2.460631
21,17,5,1,255.7429,256.5976,-2.477470
21,18,2,5,281.1624,286.2034,-1.754159
21,19,2,5,281.7899,286.2034,-1.811888
21,20,4,4,301.8178,315.8089,-1.353572
22,1,1,1,19.4846,19.7390,-1.889848
22,2,2,1,48.8042,49.3476,-1.958162
22,3,2,1,48.9525,49.3476,-2.096578
22,4,2,2,77.5682,78.9557,-1.755170
22,5,1,3,98.0565,98.6942,-2.189669
22,6,1,3,98.0823,98.6942,-2.207615
22,7,2,3,125.3988,128.3018,-1.645384
22,8,2,3,126.5049,128.3018,-1.853712
22,9,1,4,166.9987,167.7781,-2.333011
22,10,1,4,167.1063,167.7781,-2.397480
22,11,3,3,172.9288,177.6471,-1.575780
22,12,4,2,194.0179,197.3849,-1.768075
22,13,4,2,194.2239,197.3849,-1.795491
22,14,4,3,237.4252,246.7289,-1.423567
22,15,4,3,241.5849,246.7289,-1.680918
22,16,5,1,255.7729,256.5976,-2.493000
22,17,5,1,255.8049,256.5976,-2.510171
22,18,2,5,281.5280,286.2034,-1.786857
22,19,2,5,282.0918,286.2034,-1.842662
22,20,4,4,302.9370,315.8089,-1.389782
23,1,1,1,19.4942,19.7390,-1.906498
23,2,2,1,48.8304,49.3476,-1.979663
23,3,2,1,48.9663,49.3476,-2.112047
23,4,2,2,77.6364,78.9557,-1.777060
23,5,1,3,98.0877,98.6942,-2.211477
23,6,1,3,98.1125,98.6942,-2.229576
23,7,2,3,125.5765,128.3018,-1.672816
23,8,2,3,126.5890,128.3018,-1.874513
23,9,1,4,167.0423,167.7781,-2.358003
23,10,1,4,167.1405,167.7781,-2.420214
23,11,3,3,173.2270,177.6471,-1.604124
23,12,4,2,194.2226,197.3849,-1.795311
23,13,4,2,194.4066,197.3849,-1.821340
23,14,4,3,238.0805,246.7289,-1.455284
23,15,4,3,241.8857,246.7289,-1.707089
23,16,5,1,255.8277,256.5976,-2.522812
23,17,5,1,255.8578,256.5976,-2.540152
23,18,2,5,281.8488,286.2034,-1.817725
23,19,2,5,282.3582,286.2034,-1.871753
23,20,4,4,303.9092,315.8089,-1.423887
24,1,1,1,19.5030,19.7390,-1.922380
24,2,2,1,48.8545,49.3476,-2.000342
24,3,2,1,48.9792,49.3476,-2.126988
24,4,2,2,77.6982,78.9557,-1.797900
24,5,1,3,98.1161,98.6942,-2.232306
24,6,1,3,98.1397,98.6942,-2.250403
24,7,2,3,125.7352,128.3018,-1.698866
24,8,2,3,126.6654,128.3018,-1.894339
24,9,1,4,167.0814,167.7781,-2.381682
24,10,1,4,167.1714,167.7781,-2.441744
24,11,3,3,173.4917,177.6471,-1.630947
24,12,4,2,194.4057,197.3849,-1.821211
24,13,4,2,194.5708,197.3849,-1.845969
24,14,4,3,238.6600,246.7289,-1.485405
24,15,4,3,242.1543,246.7289,-1.731869
24,16,5,1,255.8752,256.5976,-2.550491
24,17,5,1,255.9035,256.5976,-2.567870
24,18,2,5,282.1323,286.2034,-1.846958
24,19,2,5,282.5949,286.2034,-1.899345
24,20,4,4,304.7598,315.8089,-1.456095
25,1,1,1,19.5112,19.7390,-1.937830
25,2,2,1,48.8762,49.3476,-2.019940
25,3,2,1,48.9913,49.3476,-2.141447
25,4,2,2,77.7546,78.9557,-1.817799
25,5,1,3,98.1421,98.6942,-2.252283
25,6,1,3,98.1645,98.6942,-2.270261
25,7,2,3,125.8777,128.3018,-1.723671
25,8,2,3,126.7353,128.3018,-1.913286
25,9,1,4,167.1165,167.7781,-2.404175
25,10,1,4,167.1993,167.7781,-2.462223
25,11,3,3,173.7282,177.6471,-1.656402
25,12,4,2,194.5702,197.3849,-1.845889
25,13,4,2,194.7191,197.3849,-1.869484
25,14,4,3,239.1754,246.7289,-1.514074
25,15,4,3,242.3955,246.7289,-1.755398
25,16,5,1,255.9170,256.5976,-2.576367
25,17,5,1,255.9436,256.5976,-2.593672
25,18,2,5,282.3843,286.2034,-1.874714
25,19,2,5,282.8064,286.2034,-1.925582
25,20,4,4,305.5089,315.8089,-1.486584
