mode_rank,matched_m,matched_n,Omega_FEM,Omega_exact,log10_Error_Omega,log10_Error_L2_w,log10_Error_L2_phi,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
55,5,6,620.7846,602.0459,-1.506890,1.801511,1.728832,99.9964,0.0015,0.0021,6.81e-08
56,1,8,630.6438,641.5243,-1.770563,1.802040,1.708130,99.9965,0.0017,0.0018,6.38e-08
57,1,8,635.4746,641.5243,-2.025481,1.801243,1.703691,99.9966,0.0017,0.0018,7.73e-08
58,1,8,648.0166,641.5243,-1.994811,1.801376,1.713044,99.9964,0.0016,0.0020,5.71e-08
59,1,8,652.3805,641.5243,-1.771535,1.801429,1.716213,99.9964,0.0017,0.0019,5.51e-08
60,2,8,658.5577,671.1331,-1.727288,1.802114,1.710267,99.9963,0.0017,0.0020,5.88e-08
61,2,8,662.6444,671.1331,-1.897968,1.800729,1.717961,99.9962,0.0021,0.0017,4.61e-08
62,2,8,666.4779,671.1331,-2.158866,1.800980,1.718571,99.9962,0.0024,0.0014,6.04e-08
63,2,8,683.6001,671.1331,-1.731046,1.801439,1.710341,99.9963,0.0018,0.0019,6.61e-08
64,2,8,690.2772,671.1331,-1.544774,1.802861,1.713842,99.9963,0.0016,0.0021,5.15e-08
65,6,6,693.6034,710.6115,-1.620976,1.800223,1.722032,99.9959,0.0021,0.0020,5.83e-08
66,6,6,701.9199,710.6115,-1.912530,1.800632,1.718665,99.9959,0.0019,0.0022,4.92e-08
67,6,6,704.2836,710.6115,-2.050371,1.801209,1.686279,99.9965,0.0017,0.0018,4.21e-08
68,6,6,707.3656,710.6115,-2.340295,1.802163,1.719331,99.9960,0.0023,0.0018,5.29e-08
69,5,7,728.0352,730.3507,-2.498887,1.801330,1.717046,99.9959,0.0020,0.0021,5.68e-08
70,5,7,731.0827,730.3507,-2.999007,1.802942,1.715618,99.9959,0.0019,0.0022,4.66e-08
71,5,7,735.4567,730.3507,-2.155455,1.801412,1.722916,99.9958,0.0020,0.0022,5.36e-08
72,5,7,739.7907,730.3507,-1.888561,1.801269,1.738259,99.9954,0.0024,0.0022,3.56e-08
