mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
64.0,64.0,Inf,0.0,0.0,1.0,0.0,1.0,1.8439616466422963,1.8693417415736925e17,8.57030931613753e-17,NaN,NaN,4.6477698339026543e-17,0.0
65.0,65.0,Inf,0.0,0.0,1.0,0.0,1.0,2.901667436795035,1.0269113585575322e18,2.361631303048949e-16,NaN,NaN,8.13887654078453e-17,0.0
66.0,66.0,Inf,0.0,0.0,1.0,0.0,1.0,2.0803075139661593,6.983497383613189e17,1.8954270493346008e-16,NaN,NaN,9.111283003160051e-17,0.0
67.0,67.0,Inf,0.0,0.0,1.0,0.0,1.0,1.9856235308895778,5.997461357072032e17,1.2723789634298863e-15,NaN,NaN,6.407956713022275e-16,0.0
68.0,68.0,Inf,0.0,0.0,1.0,0.0,1.0,2.490627980612604,3.7417550482325315e18,1.815741218413232e-15,NaN,NaN,7.290294787287444e-16,0.0
69.0,69.0,Inf,0.0,0.0,1.0,0.0,1.0,2.705803831724135,2.415068427973637e18,8.9755413690383e-16,NaN,NaN,3.317144156499733e-16,0.0
70.0,70.0,Inf,0.0,0.0,1.0,0.0,1.0,3.2816712502477943,6.760139763106074e18,2.486425815948748e-15,NaN,NaN,7.576705971876377e-16,0.0
71.0,71.0,Inf,0.0,0.0,1.0,0.0,1.0,3.5175314400206608,1.0237912713801662e19,1.5095810060093156e-15,NaN,NaN,4.2915920774270287e-16,0.0
72.0,72.0,Inf,0.0,0.0,1.0,0.0,1.0,2.9548287000024707,4.98680088970915e18,1.6274294043056667e-15,NaN,NaN,5.507694589213601e-16,0.0
73.0,73.0,Inf,0.0,0.0,1.0,0.0,1.0,3.2271632982023375,5.835969017749336e18,2.053203826104726e-15,NaN,NaN,6.36225575336843e-16,0.0
74.0,74.0,Inf,0.0,0.0,1.0,0.0,1.0,2.8902719064145335,1.6124656110490982e18,1.3063746837803614e-15,NaN,NaN,4.519902369327449e-16,0.0
75.0,75.0,Inf,0.0,0.0,1.0,0.0,1.0,2.569777020104469,3.057688027920368e18,1.886376601562831e-15,NaN,NaN,7.340623668142789e-16,0.0
