mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,vector_norm,w_norm
58,161686.94612960526,25733.276709959675,6,7,133153.88030371806,21192.098242203294,534.3013574304291,440.0126336505699,21.428640127350825,21.428640127350825,1.1732357569958519e-07,1,54.5648442218551,6.17675162283697
59,161735.4347156289,25740.99390810887,7,6,133153.88030371806,21192.098242203294,534.4615900153871,440.0126336505699,21.465055578341076,21.465055578341076,1.1774292238447066e-07,1,49.417208748284175,5.675030509480071
60,162311.34862242208,25832.653453170373,9,2,133153.88030371812,21192.0982422033,536.364721897883,440.0126336505701,21.897573132827265,21.897573132827265,8.011132849446543e-08,1,55.93452373217716,5.774282276336501
61,164524.89652942697,26184.950544340918,8,5,137227.97021242074,21840.509789774133,543.6794846524592,453.4756362034697,19.891663685436896,19.891663685436896,6.592649765452018e-08,1,66.82785938176664,7.270349041636265
62,164705.17448125643,26213.64267150506,5,8,137227.9702124208,21840.50978977414,544.2752207751518,453.47563620346995,20.023034827595666,20.023034827595666,5.6470945133731873e-08,1,66.39234317805813,7.378228678375577
63,167361.77004863298,26636.452987849058,3,9,138232.47483721378,22000.381666168614,553.0540532769121,456.7950642551434,21.072685883489125,21.072685883489125,5.7986942693512126e-08,1,50.1187920411873,4.825015805075648
64,169104.63621412442,26913.838753234635,9,3,138232.47483721378,22000.381666168614,558.8134282934653,456.7950642551434,22.333508398273636,22.333508398273636,5.0988802022263166e-08,1,73.91542320118089,7.651313910214169
65,169372.7871513883,26956.51630039491,9,4,145116.1058334765,23095.945565644415,559.6995444160464,479.54231425518475,16.71536124718424,16.71536124718424,5.561211213281344e-08,1,46.67449790692448,5.098785679332265
66,173331.47374491984,27586.56083990707,4,9,145116.10583347655,23095.945565644422,572.7811918291288,479.542314255185,19.44330558581895,19.44330558581895,1.0330585425609869e-07,1,56.60831095266144,5.637139708747484
67,176035.7215684265,28016.95524836365,7,7,146079.25477793632,23249.235481088937,581.7174932283135,482.72508071067875,20.50699590166227,20.50699590166227,5.491648226848296e-08,1,59.69407016050763,6.2205806505305095
68,176059.52047711692,28020.742962321925,6,8,147991.08738764893,23553.513091288976,581.79613772945,489.0428124942353,18.966299650157538,18.966299650157538,5.959093652696792e-08,1,53.68275800579292,5.753779227595508
69,176276.8600345921,28055.333627223506,8,6,147991.08738764893,23553.513091288976,582.5143454967563,489.0428124942353,19.113159546460523,19.113159546460523,5.0019285465224324e-08,1,57.79043952925677,6.115466161764054
70,184894.33100539588,29426.846729177843,1,10,148939.90339629748,23704.521849150115,610.9911430832915,492.1782151566511,24.140224875419253,24.140224875419253,1.208326323904744e-07,1,49.79618463939757,4.909358872292379
71,185016.50381610144,29446.291135913063,10,1,148939.90339629748,23704.521849150115,611.3948683076441,492.1782151566511,24.222253135086145,24.222253135086145,1.1332255212222309e-07,1,66.62461506630281,6.804520728129148
72,185558.585076549,29532.566048070777,10,2,151758.71409850894,24153.149506047404,613.1861987782102,501.4930944377759,22.272112134595485,22.272112134595485,4.7402923682797676e-08,1,52.49412939874463,5.740018877357933
73,189857.84127198716,30216.813923193215,2,10,151758.714098509,24153.149506047415,627.3932728565496,501.4930944377761,25.105067211328247,25.105067211328247,4.4703945784493865e-08,1,55.573159351063545,6.378768498055613
74,189891.6299261627,30222.191554525678,5,9,153615.49945040984,24448.666073063057,627.5049288944915,507.6289202278329,23.61488951670762,23.61488951670762,4.8943966784526807e-08,1,52.233888579865386,6.145473131620093
75,190299.7225364687,30287.14151069515,9,5,153615.49945040984,24448.666073063057,628.8534881991433,507.6289202278329,23.880548002840857,23.880548002840857,5.709942981122505e-08,1,67.09288426727792,6.984879322990425
76,192066.9682050999,30568.407394515547,3,10,156368.20607297999,24886.772938926893,634.6934263157666,516.725355779705,22.82993648687038,22.82993648687038,4.261927985175056e-08,1,77.71701676478939,7.372569711853876
77,192369.39046310427,30616.539391777955,10,3,156368.20607297999,24886.772938926893,635.6927934683837,516.725355779705,23.023340418270088,23.023340418270088,4.47050693560878e-08,1,49.378234226578,5.7017446757487775
78,195601.21861398756,31130.90081721457,7,8,159980.15804507784,25461.632949496787,646.3725063910007,528.6612039595478,22.26592410220817,22.26592410220817,4.3982194723781056e-08,1,63.26032671741192,6.532654489041958
