mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,boundary_max_abs_w,vector_norm,w_norm
56,251777.60739243103,40071.65077635593,1,9,130036.94439953813,20696.022485752448,832.0097609644299,429.7125870203859,93.62005817273365,93.62005817273365,2.26050413921363e-08,1,7.47823329036554e-08,1015.6928139688343,1.839976476129184
57,258737.42469055537,41179.3401023689,2,9,133153.88030371806,21192.098242203294,855.0087718238151,440.0126336505699,94.3145960901679,94.3145960901679,9.62735100177655e-08,1,5.641867206468925e-08,25579442859.646755,2.202714143949171
58,258737.42469483404,41179.34010304987,6,7,133153.88030371806,21192.098242203294,855.0087718379541,440.0126336505699,94.31459609338121,94.31459609338121,2.068679719790977e-07,1,8.64773506257374e-08,82301711151.26347,1.9054375006987625
59,259990.6691865342,41378.80015880664,7,6,133153.88030371806,21192.098242203294,859.150171308576,440.0126336505699,95.25579622126452,95.25579622126452,6.07929062691532e-08,1,4.9057263435867e-08,951.1349439664664,2.317868560243292
60,1171080088.8998675,186383184.90491012,9,2,133153.88030371812,21192.0982422033,3869883.72368286,440.0126336505701,879393.7753437494,879393.7753437494,5.626660139637528e-16,1,1.0,2.9145877243221245,2.914587724322065
61,1171080088.8998675,186383184.90491012,8,5,137227.97021242074,21840.509789774133,3869883.72368286,453.4756362034697,853282.9416022879,853282.9416022879,9.0587594284487e-16,1,1.0,2.914586439112815,2.914586439112753
62,1171080089.4145873,186383184.98683035,5,8,137227.9702124208,21840.50978977414,3869883.725383773,453.47563620346995,853282.9419773712,853282.9419773712,9.810010453326845e-16,1,1.0,2.8281647883841448,2.828164788384063
63,1171080089.4145875,186383184.9868304,3,9,138232.47483721378,22000.381666168614,3869883.7253837734,456.7950642551434,847081.5980967442,847081.5980967442,7.12258636068377e-16,1,1.0,2.999761457208241,2.999761457208156
64,1171080090.4923267,186383185.15835792,9,3,138232.47483721378,22000.381666168614,3869883.7289452087,456.7950642551434,847081.5988764014,847081.5988764014,1.593459157853614e-15,1,1.0,2.91497674618662,2.914976746186494
65,1171080090.492327,186383185.15835795,9,4,145116.1058334765,23095.945565644415,3869883.728945209,479.54231425518475,806895.256499071,806895.256499071,1.0031675805479336e-15,1,1.0,2.914976170409889,2.914976170409811
66,1183215958.153325,188314668.48531488,4,9,145116.10583347655,23095.945565644422,3909987.2173224944,479.542314255185,815258.124005262,815258.124005262,8.227614460088897e-16,1,1.0,2.9312621145199707,2.931262114519908
67,1183215958.153325,188314668.48531488,7,7,146079.25477793632,23249.235481088937,3909987.2173224944,482.72508071067875,809882.1976446973,809882.1976446973,5.740075394509949e-16,1,1.0,2.977418381581401,2.9774183815813338
68,1183215958.6627655,188314668.56639484,6,8,147991.08738764893,23553.513091288976,3909987.219005962,489.0428124942353,799418.3896199379,799418.3896199379,1.2283628254320962e-15,1,1.0,2.955211671300147,2.955211671300048
69,1183215958.6627662,188314668.56639493,8,6,147991.08738764893,23553.513091288976,3909987.219005964,489.0428124942353,799418.3896199382,799418.3896199382,6.827996333797498e-16,1,1.0,2.9552117363935007,2.955211736393413
70,1183215959.7294512,188314668.73616317,1,10,148939.90339629748,23704.521849150115,3909987.2225308698,492.1782151566511,794325.0887427827,794325.0887427827,7.70662438457509e-16,1,1.0,3.054639991026323,3.0546399910261792
71,1183215959.7294514,188314668.7361632,10,1,148939.90339629748,23704.521849150115,3909987.2225308707,492.1782151566511,794325.088742783,794325.088742783,1.3997529549164373e-15,1,1.0,2.852125474757813,2.8521254747577305
72,1656157344.1462722,263585627.8588245,10,2,151758.71409850894,24153.149506047404,5472842.046174948,501.4930944377759,1091209.5527886688,1091209.5527886688,1.02396270582574e-15,1,1.0,2.125000000764399,2.125000000764388
73,1664760816.9285471,264954913.0798801,2,10,151758.714098509,24153.149506047415,5501272.586154969,501.4930944377761,1096878.7315461335,1096878.7315461335,9.58430552626337e-16,1,1.0,1.5232048660436754,1.5232048660436714
74,1664760816.9285474,264954913.07988012,5,9,153615.49945040984,24448.666073063057,5501272.58615497,507.6289202278329,1083619.3010370452,1083619.3010370452,1.0675459436910645e-15,1,1.0,1.523204866044258,1.523204866044244
75,1673320055.0377607,266317158.134062,9,5,153615.49945040984,24448.666073063057,5529556.950785478,507.6289202278329,1089191.1594366438,1089191.1594366438,1.1227631478318333e-15,1,1.0,2.183673470997984,2.1836734709979693
