ndiv,lambda_numeric,lambda_exact
10,3.3539931409791841e+12,513.777778
10,3.3631454691123862e+12,515.938776
10,3.3687266094959170e+12,516.528926
10,3.3719654509779941e+12,523.602076
10,3.3736433523971938e+12,531.001890
10,3.3829583102023506e+12,532.071111
10,3.3829583103198877e+12,534.765625
10,4.0567187202284185e+12,535.291322
10,4.0665169487798896e+12,537.030246
10,4.0888914357141035e+12,538.240000
10,4.1117333107949209e+12,541.174515
10,4.1289311098134438e+12,544.444444
10,4.1401773234729219e+12,547.153119
10,4.1470727959730269e+12,554.864198
10,4.1510984842964673e+12,555.191406
10,4.1531951972088174e+12,558.677686
10,4.1643314495183965e+12,561.483932
10,4.1643314887002134e+12,576.000000
10,4.9323957612325635e+12,578.001736
10,5.5102845576578711e+12,578.287982
10,5.5234812286864521e+12,578.402500
10,5.5536081203694199e+12,579.698225
10,5.5844081725294658e+12,580.181474
10,5.6076434744981514e+12,580.371901
10,5.6228829821500537e+12,581.660900
10,5.6322610148144375e+12,584.027778
10,5.6377571424201211e+12,586.960744
10,5.6406291499133340e+12,588.062500
10,5.6553838050779072e+12,588.700831
10,5.6553838271212207e+12,589.795918
10,6.8748646604447969e+12,589.795918
10,8.0356867353777754e+12,592.111111
10,8.0547799795824492e+12,594.140625
10,8.0985045860851865e+12,595.360000
10,8.1432273859508076e+12,603.449905
10,8.1770115145122119e+12,605.160000
10,8.1992127320949355e+12,608.444444
10,8.2129054629585518e+12,611.188272
10,8.2209479598993545e+12,617.877551
10,8.2251583632306533e+12,620.462810
10,8.2463149652622051e+12,625.000000
10,8.2463150516706729e+12,625.000000
10,1.2474436598821543e+13,625.000000
10,1.2504154004198801e+13,625.000000
10,1.2571955944218611e+13,627.001600
10,1.2641289209203199e+13,627.085069
10,1.2693685597571514e+13,631.538752
10,1.2728157197857615e+13,633.025600
10,1.2749447316200416e+13,643.129600
10,1.2761968667631566e+13,643.556787
10,1.2768530819415094e+13,648.750865
10,1.2801037170855309e+13,650.250000
10,1.2801037195469922e+13,657.409600
10,2.0878051444346934e+13,659.555785
10,2.0927830254325789e+13,663.675737
10,2.1041364135830918e+13,664.742911
